timestamp	open	close	high	low	Fear & Greed Index	Fear & Greed Classification
6/17/2025 4:00	106842	107603	107603	106421	68	Greed
6/17/2025 0:00	108570	106951	108780	106951	68	Greed
6/16/2025 20:00	107527	108577	108785	107456	61	Greed
6/16/2025 16:00	106864	107663	107715	106615	61	Greed
6/16/2025 12:00	107059	106906	107194	106641	61	Greed
6/16/2025 8:00	105909	107077	107113	105903	61	Greed
6/16/2025 4:00	105564	105892	105954	105110	61	Greed
6/16/2025 0:00	105285	105554	105591	104627	61	Greed
6/15/2025 20:00	105582	105268	105755	105223	60	Greed
6/15/2025 16:00	105007	105654	105747	105000	60	Greed
6/15/2025 12:00	105467	105032	105467	104929	60	Greed
6/15/2025 8:00	105530	105458	106032	105330	60	Greed
6/15/2025 4:00	105459	105541	105647	105421	60	Greed
6/15/2025 0:00	104762	105483	105513	104412	60	Greed
6/14/2025 20:00	104841	104843	105015	104461	63	Greed
6/14/2025 16:00	105137	104851	105137	104785	63	Greed
6/14/2025 12:00	105107	105074	105123	104922	63	Greed
6/14/2025 8:00	105293	105104	105405	104952	63	Greed
6/14/2025 4:00	106069	105302	106069	105302	63	Greed
6/14/2025 0:00	105142	106046	106060	105142	63	Greed
6/13/2025 20:00	105519	105170	105918	104822	61	Greed
6/13/2025 16:00	105017	105660	105690	104309	61	Greed
6/13/2025 12:00	104917	104963	105362	104651	61	Greed
6/13/2025 8:00	104335	104847	104847	103939	61	Greed
6/13/2025 4:00	105898	104304	105898	103081	61	Greed
6/13/2025 0:00	106847	105979	106892	105880	61	Greed
6/12/2025 20:00	107049	106987	108369	106987	71	Greed
6/12/2025 16:00	107016	107102	107746	106821	71	Greed
6/12/2025 12:00	107626	107070	107838	107052	71	Greed
6/12/2025 8:00	107913	107590	107943	107567	71	Greed
6/12/2025 4:00	108687	107937	108748	107851	71	Greed
6/12/2025 0:00	108732	108680	109134	108244	71	Greed
6/11/2025 20:00	109778	108697	109778	108574	72	Greed
6/11/2025 16:00	109246	109842	110269	109117	72	Greed
6/11/2025 12:00	109470	109226	109602	109226	72	Greed
6/11/2025 8:00	109671	109510	109709	109434	72	Greed
6/11/2025 4:00	110237	109714	110237	109608	72	Greed
6/11/2025 0:00	109548	110213	110213	109378	72	Greed
6/10/2025 20:00	109000	109562	110164	108663	71	Greed
6/10/2025 16:00	109607	108908	109802	108633	71	Greed
6/10/2025 12:00	109301	109649	109793	109121	71	Greed
6/10/2025 8:00	109577	109250	109641	109215	71	Greed
6/10/2025 4:00	110266	109566	110282	109460	71	Greed
6/10/2025 0:00	108540	110262	110277	108540	71	Greed
6/9/2025 20:00	107773	108552	108677	107773	62	Greed
6/9/2025 16:00	107702	107856	107950	107115	62	Greed
6/9/2025 12:00	105624	107646	107658	105617	62	Greed
6/9/2025 8:00	105651	105603	105706	105432	62	Greed
6/9/2025 4:00	105724	105622	105816	105426	62	Greed
6/9/2025 0:00	106308	105692	106352	105675	62	Greed
6/8/2025 20:00	106003	106305	106365	106003	62	Greed
6/8/2025 16:00	105679	106003	106023	105615	62	Greed
6/8/2025 12:00	105471	105662	105662	105112	62	Greed
6/8/2025 8:00	105513	105474	105628	105474	62	Greed
6/8/2025 4:00	105665	105512	105716	105447	62	Greed
6/8/2025 0:00	105740	105681	105891	105681	62	Greed
6/7/2025 20:00	105585	105728	105832	105427	52	Neutral
6/7/2025 16:00	105184	105569	105708	105184	52	Neutral
6/7/2025 12:00	104933	105189	105266	104836	52	Neutral
6/7/2025 8:00	104932	104947	105213	104763	52	Neutral
6/7/2025 4:00	104365	104913	104913	104210	52	Neutral
6/7/2025 0:00	104262	104410	104540	104262	52	Neutral
6/6/2025 20:00	105066	104271	105201	104271	45	Fear
6/6/2025 16:00	104004	105036	105058	103892	45	Fear
6/6/2025 12:00	103193	103978	103978	103193	45	Fear
6/6/2025 8:00	102506	103248	103341	102495	45	Fear
6/6/2025 4:00	101598	102493	102493	101379	45	Fear
6/6/2025 0:00	102237	101651	102237	100783	45	Fear
6/5/2025 20:00	104683	102320	104683	102320	57	Greed
6/5/2025 16:00	104850	104708	105888	104170	57	Greed
6/5/2025 12:00	104539	104849	104906	104539	57	Greed
6/5/2025 8:00	105006	104527	105222	104517	57	Greed
6/5/2025 4:00	104803	105000	105200	104803	57	Greed
6/5/2025 0:00	105047	104813	105047	104691	57	Greed
6/4/2025 20:00	105446	105059	105465	104969	62	Greed
6/4/2025 16:00	105281	105484	105484	104648	62	Greed
6/4/2025 12:00	105407	105295	105910	105293	62	Greed
6/4/2025 8:00	105641	105410	105641	105350	62	Greed
6/4/2025 4:00	105431	105655	105788	105344	62	Greed
6/4/2025 0:00	106277	105434	106277	105434	62	Greed
6/3/2025 20:00	106723	106291	106723	105781	64	Greed
6/3/2025 16:00	105311	106721	106807	105311	64	Greed
6/3/2025 12:00	105236	105291	105347	104982	64	Greed
6/3/2025 8:00	105560	105261	105560	105261	64	Greed
6/3/2025 4:00	105884	105582	106443	105567	64	Greed
6/3/2025 0:00	104387	105885	105885	104387	64	Greed
6/2/2025 20:00	104452	104350	104589	104148	64	Greed
6/2/2025 16:00	104112	104449	104449	103977	64	Greed
6/2/2025 12:00	105369	104147	105666	104147	64	Greed
6/2/2025 8:00	104916	105376	105381	104747	64	Greed
6/2/2025 4:00	105698	104960	105698	104880	64	Greed
6/2/2025 0:00	105139	105710	105804	105054	64	Greed
6/1/2025 20:00	104757	105131	105214	104657	56	Greed
6/1/2025 16:00	104134	104751	104763	103983	56	Greed
6/1/2025 12:00	104314	104129	104383	103939	56	Greed
6/1/2025 8:00	104415	104313	104724	104280	56	Greed
6/1/2025 4:00	104686	104408	104686	104108	56	Greed
6/1/2025 0:00	104761	104688	104896	104680	56	Greed
5/31/2025 20:00	104594	104755	104761	104448	50	Neutral
5/31/2025 16:00	103509	104632	104795	103509	50	Neutral
5/31/2025 12:00	103763	103503	103778	103398	50	Neutral
5/31/2025 8:00	103602	103766	103878	103602	50	Neutral
5/31/2025 4:00	104021	103568	104110	103296	50	Neutral
5/31/2025 0:00	104665	104011	104849	103954	50	Neutral
5/30/2025 20:00	105579	104675	105579	104053	60	Greed
5/30/2025 16:00	105907	105689	105926	105343	60	Greed
5/30/2025 12:00	105110	105879	105915	105042	60	Greed
5/30/2025 8:00	106084	105180	106224	105180	60	Greed
5/30/2025 4:00	105720	106102	106133	105319	60	Greed
5/30/2025 0:00	105796	105745	106377	105745	60	Greed
5/29/2025 20:00	107225	105815	107225	105815	74	Greed
5/29/2025 16:00	108776	107306	108776	106968	74	Greed
